WineName,Price,CountryState,Region,ProductType,VarietalType,Description
Franciscan Cabernet 2015,$18.97,California,,Red Wine,Cabernet Sauvignon,James Suckling-California- A linear and tight 2015 with aromas and flavors of blackcurrants berries spices and cedar which remain ever so fine and polished. A lovely bright and succulent finish. Beautiful to drink now but will improve with age. ()
Seghesio Zinfandel Sonoma,$17.97,California,Sonoma County,Red Wine,Zinfandel,Sonoma CA- Ripe and opulent to the edge of jammy with juicy complex boysenberry and blackberry fruit. Has ripe integrated tannins with a touch of cedar and plum on the finish. (Intense Fruity Blackberry  Medium-bodied )
The Calling Cabernet Alexander Valley,$34.99,California,Sonoma County,Red Wine,Cabernet Sauvignon,Alexander Valley Sonoma CA- Made by winemaker Wayne Donaldson this wine presents black cherry currant and vanilla spice aromas combined with flavors of ripe raspberry. A partnership between two friends sports commentator Jim Nantz and wine entrepreneur Peter Deutsch. (Elegant Black Cherry Vanilla  Full-bodied )
Castellana Montepulciano,$11.99,Italy,Abruzzo,Red Wine,Montepulciano,Montepulciano dAbruzzo Abruzzi Italy- This everyday Italian red wine represents uncompromising quality for the price. Loaded with blackberry and red cherry flavors the wine has a hint of spice and features soft tannins and a velvety finish. Try it with tomato-based sauces. (Fresh Blackberry Red Cherry  Medium-bodied )
Sobon Zinfandel Old Vines,$14.99,California,Sierra Foothills,Red Wine,Zinfandel,Amador CA- Brambly flavors of blackberry and blueberry with hints of vanilla and cedar that end in a long spicy finish. The Sobon family has a firm commitment to making the best Zinfandel in California! Enjoy with BBQ hearty stews or game. Sustainably Farmed. (Intense Blackberry Spice  Medium-bodied )
Chateau Valandraud St Emilion 2015,$199.98,France,Bordeaux,Red Wine,Bordeaux Blend,James Suckling-1er Gd Cru Classe St. Emilion Bordeaux France - Plenty of toasty oak and extract here. This has immensely concentrated fruits with powerful yet silky tannins. Blackberry and dark-plum aromas dominate the nose with hints of dark chocolate and candied orange. (Concentrated Black Cherry Dark Chocolate  Full-bodied )
Educated Guess Cabernet Napa,$17.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Napa Valley CA- It is rich ripe and focused with juicy blackberry and cherry fruit cocoa and hints of mint all tied together with a creamy french vanilla middle and a finish that in a word lingering. (Concentrated Cherry Vanilla  Full-bodied )
Sheridan Cabernet Sauvignon Yakima 2015,$29.99,Washington,Yakima Valley,Red Wine,Cabernet Sauvignon,Wine Advocate-Yakima Valley WA- The base 2015 Cabernet Sauvignon is another deep purple/ruby colored red from Scott that has considerable elegance in its creme de cassis lead pencil toasted bread and black raspberry scented bouquet. Medium to full-bodied silky and polished on the palate. (Concentrated Blackberry Spice  Full-bodied )
Grove Pinot Noir,$18.99,Oregon,,Red Wine,Pinot Noir,Oregon- This Pinot Noir has aromas and flavors of black cherry plum and blackberry with a lingering finish of cherry. On the palate the rich fruit is still the focus of the wine but there are delicious hints of dried herbs and cracked pepper. (Elegant Raspberry Cranberry Spice  Medium-bodied )
Moone Tsai Hillside Red Howell Mountain 2014,$129.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Wine Advocate-Howell Mountain Napa CA- The 2014 Proprietary Red Hillside Blend Howell Mountain is a beauty. With notes of mulberry jam blackcurrants subtle barbecue smoke and graphite all present in this wine it has terrific minerality gorgeous density and an intense full-bodied mouthfeel. (Concentrated Black Currant Red Cherry  Full-bodied )
Wildhaven Cabernet Sauvignon Reserve Horse Heaven Hills,$19.99,Washington,Columbia Valley,Red Wine,Cabernet Sauvignon,Horse Heaven Hills Columbia Valley WA- Rich and pure in blackberry cassis and blueberries a hint of spice and chocolate. Layered tannins leave a lingering finish. Pair with stew steak or grilled vegetables. (Elegant Blackberry Cassis  Full-bodied )
Silver Oak Cabernet Napa 2013,$124.97,California,Napa Valley,Red Wine,Cabernet Sauvignon,Napa CA- A wine of extraordinary intensity and depth it has a dark garnet color and a concentrated nose of cassis roasting coffee chocolate violets and sandalwood. It is extremely rich on the palate with a full body and a long fruity intense finish. Ready to drink on release. ()
Conundrum Red,$22.99,California,,Red Wine,Red Blend,California- Rich and velvety aromas of floral notes with tones of lavender dried berries and baking chocolate. Silky round entry with acid to balance the high fruit concentration. (Elegant Black Cherry Chocolate  Medium-bodied )
Carson Ridge Cabernet Sauvignon,$10.99,California,Central Coast,Red Wine,Cabernet Sauvignon,Paso Robles Central Coast CA- This medium to full-bodied Cabernet is balanced and richly colored with just a touch of oak to complement the ripe berry aromas. Enjoy with full flavored dishes and your favorite cheeses. (Elegant Blackberry Cherry  Medium-bodied )
Joel Gott Cabernet 815,$11.37,California,,Red Wine,Cabernet Sauvignon,California- Sourced from vineyards in Napa Sonoma Mendocino and Lodi Joel Gott is making classic Cabernets with rich aromas of blackberry black currant and mocha. The wine is built on a solid frame well-balanced and round on the finish. (Intense Blackberry  Medium-bodied )
Regina di Renieri 2012,$34.99,Italy,Tuscany,Red Wine,Syrah/Shiraz,James Suckling-Tuscany Italy - This is a luxurious red with dark berry plum and peach aromas and flavors. Full body velvety tannins and a long and flavorful finish. Juicy and savory. Always a top Super Tuscan from Montalcino. (Intense Blackberry Leather  Full-bodied )
Flichman Malbec Tupungato 2015,$18.99,Argentina,Mendoza,Red Wine,Malbec,James Suckling-Mendoza Argentina - This is a tight and chewy red with lots of blackberry and fresh mushroom character. Full and flavorful...A blend of Malbec Cabernet Sauvignon and Merlot (Intense Raspberry Currant Oak  Full-bodied )
Porta Cabernet Gran Reserva 2016,$16.49,Chile,Aconcagua Valley,Red Wine,Cabernet Sauvignon,James Suckling-Valle Chile - Aromas of tile and dark berries with dried flowers and tea leaf. Full body dense and juicy. Polished and textured tannins and a flavorful finish. Drink now or hold. (Intense Black Currant Chocolate  Full-bodied )
Emmolo Merlot Napa 2015,$54.99,California,Napa Valley,Red Wine,Merlot,Napa CA- This rich expansive Merlot has bold and luscious flavors of ripe cherries earth smoke and figs. Full-bodied and soft the finish is laced with delicately smooth tannins that give the wine a silky texture. ()
Chateau de Chantegrive Graves 2015,$19.99,France,Bordeaux,Red Wine,Bordeaux Blend,James Suckling-Graves Bordeaux France - This shows plenty of brash woodwork on the nose with an undercurrent of cassis and blackcurrant. The palate has an assertive core of fresh lithe and long tannins forming a focused flavor-drenched finish. (Concentrated Black Cherry Chocolate  Full-bodied )
Press Run Cabernet Sonoma County,$15.99,California,Sonoma County,Red Wine,Cabernet Sauvignon,Sonoma CA- Showing black cherry red fruit and hints of spice and chocolate. This is a round Cabernet that showcases fine grainy tannins that provide good structure and it finishes with soft expansive mouthfeel. Crafted using environmentally sustainable farming practices. (Intense Black Cherry Smooth  Medium-bodied )
Cardiff Merlot,$8.99,California,,Red Wine,Merlot,California- An appealing easy-to-love wine enjoy Cardiff Merlot on its own or with food. Pleasing flavors of blackberry baked cherries chocolate and a hint of vanilla matches perfectly with classic beef Burgundy or a rich pastry turnover. (Fresh Blackberry Vanilla  Medium-bodied )
Seven Peaks Pinot Noir 2016,$11.99,California,,Red Wine,Pinot Noir,California- Lovely aromas of ripe black cherry plum and vanilla. Deep flavors of ripe red fruit toasty oak and spice complete this earthy yet smooth Pinot Noir. Complements roasted fowl salmon mushroom risotto and hearty vegetables. (Intense Cherry Vanilla  Medium-bodied )
Far Niente Cabernet 2014,$129.97,California,Napa Valley,Red Wine,Cabernet Sauvignon,Wine Enthusiast -Oakville CA- Sourced largely from the Martin Stelling Vineyard this is a supple soft wine with refined tannins. A zippy nose of rose and spice scents paves the way for more powerful leather saddle cedar and black tea elements. Its fruit is wild and brambly... (Elegant Cassis Blackberry Oak  Full-bodied )
Crimson Ranch Cabernet Sauvignon,$14.99,California,,Red Wine,Cabernet Sauvignon,California- This dry yet fruit forward Cabernet showcases lovely aromas and flavors of blackberries red fruit oak and spice. Smooth tannins provide structure all the way through to the wines delicate and expressive finish. Crafted by The Michael Mondavi Family. (Oak Blackberry Red Berry  Full-bodied )
Tesoro della Regina Chianti Classico,$14.99,Italy,Tuscany,Red Wine,Sangiovese,Chianti Classico Tuscany Italy- A lavishly sculpted wine that offers up lovely fruit the seamless balance of this Chianti Classico makes it a perfect pairing for your favorite foods. Enjoy it casually with friends or serve it on special occasions. (Fresh Cherry Plum  Medium-bodied )
Michel Gassier Cabernet Les Piliers,$15.99,France,Vins de Pays dOc,Red Wine,Cabernet Sauvignon,Vin de Pays France- Made from 100% Cabernet this wine features black cherry flavors with hints of plum. Highly regarded winemaker Michael Gassier used grapes picked by hand from old vines to craft this complex elegant wine that pairs well with beef. Sustainably Farmed. (Intense Cherry Plum  Full-bodied )
Belle Glos Pinot Noir Las Alturas 2016,$49.99,California,Monterey,Red Wine,Pinot Noir,Santa Lucia Highlands Central Coast CA- Belle Glos Las Alturas Pinot Noir possesses a broad texture deep sweet fruit earthy black raspberry cherry and red currant aromas and beautiful purity as well as a seamless finish. ()
H to H &#034;Homage to Heritage&#034; Chateauneuf du Pape,$26.99,France,Rhone,Red Wine,Rhone Blend,Chateauneuf du Pape Rhone France - Crafted in tradition this full-bodied and elegant wine has notes of dark fruit spice and blackberry. Will complement grilled meat dishes and pair well with cheese. (Elegant Dark Fruit Spice  Full-bodied )
Coastline Cabernet Reserve,$14.49,California,Central Coast,Red Wine,Cabernet Sauvignon,Central Coast CA- Aromas of dried cherries cassis sandalwood blueberry preserves chai and vanilla are followed by flavors of cassis dried cherry and vanilla with a hint of toasty oak on the finish. Pairs well with hearty dishes and dark chocolate. (Intense Blueberry Vanilla  Full-bodied )
Pierre Henri Morel Cotes du Rhone Villages Signargues 2015,$13.99,France,Rhone,Red Wine,Rhone Blend,Wine Advocate-France - ...the 2015 Cotes du Rhone Villages Signargues is a medium to full-bodied impressively structured red that has loads of black and blue fruits pepper violets and a touch of earth-like aromas and flavors. (BARREL SCORE 89-91) (Concentrated Raspberry Cherry Spice  Medium-bodied )
Mina Mesa Cabernet Sauvignon,$9.99,California,Central Coast,Red Wine,Cabernet Sauvignon,Paso Robles CA- This smooth and well-balanced Cabernet represents the passion of 7th-generation grower Troy Javadi. Troy puts his heart and soul into tending the land caring for the vines and farming the highest-quality grapes for this delicious crowd-pleasing wine. (Concentrated Blackberry Currant Mocha  Medium-bodied )
Paso Ranches Cabernet Sauvignon Paso Robles,$18.99,California,Central Coast,Red Wine,Cabernet Sauvignon,Paso Robles Central Coast CA- Has aromas of blackberry jam blueberry and plum with hints of espresso and chocolate. Rich and layered with lots of fresh fruit flavors dominated by ripe black cherries and mocha. Pairs well with steak BBQ and bold food or enjoy on its own. (Concentrated Black Cherry Plum  Full-bodied )
Mendoza Station Malbec,$5.99,Argentina,Mendoza,Red Wine,Malbec,Mendoza Argentina- Malbec has found its home in Argentina as this delicious value proves. Aromas of black cherry and dark fruits dominate mingling with an enticing palate of blackberry cassis and plum for a smooth bright finish. Elegant and full never overbearing. (Fresh Blackberry Plum  Light-bodied )
MacMurray Ranch Pinot Noir Central Coast 2014,$13.97,California,Central Coast,Red Wine,Pinot Noir,Wine Enthusiast -CA-...this shows cinnamon red cherry ripe cranberry light tobacco and a touch of leather on the rustic nose. Once sipped the mouthfeel is soft offering flavors of cranberry and red cherry that are spiced by thyme bay leaf and more cinnamon. ()
Carlo Rossi Merlot,$13.79,California,,Red Wine,Merlot,A medium-bodied red wine with rich berry flavors. Pairs well with meat fish and pasta. ()
Black Box Merlot,$16.99,California,,Red Wine,Merlot,A medium-to-full-bodied juicy dry red wine with notes ripe blueberry plum and sweet brown spice. ()
Columbia Crest Grand Estate Merlot,$8.17,Washington,Columbia Valley,Red Wine,Merlot,Columbia Valley Washington- Classic Merlot aromas of spice blackberry and cocoa carry through the palate of this complex artisanal crafted wine. The balance of oak and black fruits creates a velvety seductive finish. ()
Ghost Pines Cabernet,$14.97,California,,Red Wine,Cabernet Sauvignon,California- This Cabernet displays aromas and flavors of plums and blackberries with layered notes of mocha toasted pound cake and roasted nuts. This wine has superb complexity. ()
Domaine Pignard Beaujolais,$12.99,France,Beaujolais,Red Wine,Gamay,Beaujolais France- A fragrant and floral bouquet leads to flavors of red fruits and hints of spice. Made from the Gamay grape fresh raspberries and cherries shine through. This wine is best slightly chilled. Pairing with grilled kabobs with fresh veggies. (Fresh Raspberry Cherry  Medium-bodied )
Sunstruck Cabernet Sauvignon,$8.49,California,,Red Wine,Cabernet Sauvignon,California- Flavors of cherries and strawberries showcase a soft sizzle of baking spice. A medium-bodied Cabernet Sauvignon accompanied by oak and vanilla. Pair with burgers steaks and ribs. A great everyday Cabernet from Sunny California! (Concentrated Cherry Vanilla  Medium-bodied )
Double Black Zinfandel Paso Robles,$12.99,California,Central Coast,Red Wine,Zinfandel,Paso Robles California- This full-bodied elegant wine explodes with dark berry flavors and finishes with cracked pepper spice. Excellent with BBQ ribs skirt steak grilled sausages and pasta marinara. (Elegant Raspberry Strawberry Vanilla  Medium-bodied )
Rivata Casa Rossa,$11.99,Italy,,Red Wine,Red Blend,Italy- This delicious softly sweet red is a veritable fruitbowl of cherry strawberry and blueberry with a soft easy-drinking palate. A hint of fizziness keeps the wine fresh on the palate making it the perfect pairing for desserts and weekend brunch. (Fresh Cherry Strawberry Sweet  Light-bodied )
Dom Loubejac Pinot Noir Barriques Willamette Valley,$23.99,Oregon,Willamette Valley,Red Wine,Pinot Noir,Willamette Valley OR- The pleasing cherry strawberry and floral aromas traslate easily to the fruit driven palate with the addition of oak structure. A touch of balanced earthy Willamette Valley terroir shows through on the finish. (Elegant Strawberry Cherry  Medium-bodied )
1858 Cabernet Sauvignon Napa Valley,$64.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Napa CA - This hand crafted Napa Cabernet is a powerhouse in flavor and texture. Featuring luscious ripe blackberry flavors with undertones of dark chocolate and toasted oak. The initial surge of raspberry is stunning but almost outdone by the regal tannic finish. (Concentrated Black Fruit Vanilla Nutmeg  Full-bodied )
Chateau Dalem Fronsac 2015,$29.99,France,Bordeaux,Red Wine,Bordeaux Blend,James Suckling-Fronsac Bordeaux France - Love the blackberry and dark-chocolate aromas with hints of sandalwood and almonds. Full-bodied layered and very intense and powerful. So polished and long. Shows gorgeous length. (Crisp Anise Red Berry  Medium-bodied )
Carlo Rossi Burgundy,$11.99,California,,Red Wine,Red Blend,Rich full-bodied wine with a deep red color. Hints of black cherry fruit add depth and richness. ()
A3 Red Blend,$7.99,California,,Red Wine,Red Blend,California- This medium-bodied Red Blend is filled with ripe red fruit aromas and complemented with sweet spicy oak tones. Pairs well with various grilled meats and perfect for celebrating anytime anyplace with anyone. (Fresh Red Fruit Spice  Medium-bodied )
Bistro Chic Red Blend,$9.99,France,,Red Wine,Red Blend,France - This red blend has a superb deep red color with purple reflections. The nose is complex and powerful marrying notes of ripe jammy fruits - blackberry and black currant - with roasted aromas of mocha and vanilla. It is rich and full-bodied with a harmonious and fruity finish. (Fresh Red Fruit Mocha Vanilla  Light-bodied )
Prototype Zinfandel Lodi,$8.99,California,Lodi,Red Wine,Zinfandel,Lodi California - Aromas of bright red cherries and blackberries jump out of the glass. Jammy flavors of raspberry and blackberry open the palate. Finishing out with oak and spice notes this medium-bodied Zinfandel pairs wonderfully with barbecue pizza or roasted meats. (Concentrated Raspberry Jam  Medium-bodied )
A to Z Pinot Noir,$13.77,Oregon,,Red Wine,Pinot Noir,Oregon- Fresh red fruits with a floral note immediately jumps out from the nose. Dark ripe raspberries spices lavender hints of oak and cassis emerge after the initial blast of fruit. Beautifully balanced with nice acidity and ripe tannins (Elegant Raspberry Spice Cassis  Medium-bodied )
Meiomi Pinot Noir,$16.47,California,Sonoma County,Red Wine,Pinot Noir,California- This beautiful Pinot Noir carries aromas of tobacco dark red fruits and fresh berries. The rich cherry flavor is complemented by notes of cedar raspberry and strawberry. Enjoy with turkey salmon or beef dishes. (Elegant Cherry Berry Vanilla  Medium-bodied )
Bogle Merlot,$6.77,California,,Red Wine,Merlot,California- Concentrated and full-bodied the Merlot is a study in contrasts. Subtle and silky yet bright and intense this deep red wine is multifaceted. Dark plum fruit greets the nose while the brighter fruit of summer cherry dazzles the palate. ()
Canyon Oaks Cabernet,$4.99,California,,Red Wine,Cabernet Sauvignon,California- This light-bodied red offers fresh fruit aromas of cassis mint and ripe berries with the same fruit characteristics exploding on the palate. There are light tannins present making this a smooth and easy drinking wine. Try this nicely balanced bottle with hamburgers or BBQ. (Fresh Cassis Mint  Light-bodied )
Angeline Cabernet Sauvignon California,$14.99,California,,Red Wine,Cabernet Sauvignon,California- Fashioned in a fruit-forward easy-to-drink style that reveals complexity and length. This wine has a deep garnet hue and aromas of lush cherry cassis and plum. The rich cherry and plum flavors are layered with hints of vanilla and creamy oak that linger on the palate. (Fresh Cherry Plum  Medium-bodied )
Vistamar Cabernet Syrah Gran Reserva,$18.99,Chile,Maipo Valley,Red Wine,Cabernet Sauvignon,Maipo Valley Chile- A bouquet of bold fruit aroma pairs wth juicy flavors of red fruits and chocolate combined with notes of mocha to create a complex smooth and silky wine. Serve wtih red meats and heartier fare. (Elegant Blackberry Caramel  Full-bodied )
No Curfew Red Wine,$15.99,California,,Red Wine,Red Blend,California- This full-bodied blend of Syrah Zinfandel and Petite Sirah has a deep ruby hue that is nearly opaque. The aromas elevate from the glass starting with blackcurrant blackberry and cherry with a hint of mocha & spice rounded out by subtle hints of French and American oak. (Intense Currant Cherry  Full-bodied )
DAutrefois Pinot Noir,$21.99,France,Vins de Pays dOc,Red Wine,Pinot Noir,Vin de Pays France- Fantastic value in a complex Pinot Noir from a winery with longstanding ties to Burgundy. An alluring bouquet of cherry and berry fruit is framed by subtle vanilla and spice notes. Ripe crisp finish. A staff favorite! Enjoy with herb roasted or grilled chicken. (Elegant Cherry Raspberry  Medium-bodied )
Red Theory Cabernet Sauvignon,$12.99,Washington,Columbia Valley,Red Wine,Cabernet Sauvignon,Columbia Valley Washington- Earthy aromas lead to a softer palate layered with mulberry and plum. Lingering spice notes give way to soft velvety tannins on the finish. Pairs well with grilled dishes. (Elegant Mulberry Plum  Medium-bodied )
Oak Ridge Zinfandel Lodi AV Reserve,$27.99,California,Lodi,Red Wine,Zinfandel,Lodi CA- Sourced from 8 distinctive vineyards in the Lodi sub-appellation of California. A full 18 months in the barrel lend this wine to a classic varietal makeup of spice and vanilla aromatics. Sweet dark fruit notes and a fresh clean mouthfeel. (Intense Vanilla Blackberry  Full-bodied )
Austin Hope Cabernet Sauvignon Paso Robles 2015,$49.97,California,Central Coast,Red Wine,Cabernet Sauvignon,Wine Enthusiast -Paso Robles CA- Vintner Austin Hope whose family is intertwined in the rise of Paso Robles spent years working to release a wine of this caliber...The palate is soft and extremely expressive with blueberry black pepper...and a finish thats redolent of cappuccino candies. ()
14 Hands Cabernet,$8.27,Washington,Columbia Valley,Red Wine,Cabernet Sauvignon,Columbia Valley WA- Concentrated aromas of dark stone fruits and toast burst from the glass. classic Cabernet Sauvignon flavors of black cherries with subtle hints of baking spice dance across the palate bolstered by fine round tannins. Its medium bodied wine is soft in mouth feel. (Intense Red Currant Raspberry  Full-bodied )
Phebus Malbec,$11.49,Argentina,Mendoza,Red Wine,Malbec,Mendoza Argentina- Bursting with spicy raspberry and blackberry flavors in a well rounded modern style. Ripe and juicy finish. Drink now with ribs burgers or barbecue chicken. (Fresh Blackberry Spice  Medium-bodied )
Mascota Vineyards Unanime 2014,$24.99,Argentina,Mendoza,Red Wine,Cabernet Sauvignon,James Suckling-Mendoza Argentina - A blend of cabernet sauvignon cabernet franc and malbec this delivers beautiful fruit with berry and lemon rind character and hints of toasted oak. Lovely flavorful finish. Delicious. (Intense Blackberry Chocolate  Full-bodied )
Joseph Phelps Cabernet Napa 2014,$66.97,California,Napa Valley,Red Wine,Cabernet Sauvignon,Wine Enthusiast -Napa California - This wine is predominately Cabernet Sauvignon with smaller amounts of other Bordeaux red varieties. Together they offer bold ripe red-currant and berry flavors with a rich entry and gravelly texture. Highly stylized grippy tannins and a leather note... ()
Chateau Mouton Rothschild Pauillac 2015,$649.97,France,Bordeaux,Red Wine,Bordeaux Blend,James Suckling-Pauillac Bordeaux France - Decadent and rich aromas of black cherries and plums with wet earth and sandalwood. Turns to dried mushrooms...it shows such depth and beauty. Tangy acidity. (Intense Blackberry Cassis  Full-bodied )
Cloud Break Pinot Noir,$8.49,California,,Red Wine,Pinot Noir,California- The Cloud Break Pinot Noir has charming aromas of raspberry and strawberry with notes of vanilla. Oak-aging rounds out the wine and gives it body. Flavors of fresh strawberry cherry and raspberry fill the palate. The wine is elegant and crowd pleasing. Great with salmon. (Elegant Strawberry Cherry  Medium-bodied )
Saladini Pilastri Rosso Piceno,$10.99,Italy,Marches,Red Wine,Montepulciano,Marches Italy- 30% Montepulciano and 70% Sangiovese it exhibits loads of strawberry and black cherry fruit in its exuberant robust personality. With wonderful depth a silky texture and pleasant herb earth and spice characteristics Enjoy with Veal Marsala. (Fresh Black Cherry Strawberry  Medium-bodied )
Chappellet Cabernet Sauvignon Napa Signature 2015,$64.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Wine Advocate-Napa CA- The deep garnet-purple colored 2015 Cabernet Sauvignon Signature delivers mocha cassis and black soil notes with touches of black cherries charcoal and fried herbs. Medium to full-bodied it fills the palate with black berry and earthy flavors textured by chewy tannins... (Intense Cassis Chocolate Cedar  Full-bodied )
Chateau Palene Bordeaux Rouge,$9.99,France,Bordeaux,Red Wine,Bordeaux Blend,Bordeaux France- Features a diverse range of aromas favoring the expressions of fruit with fresh and delicate aromas. The palate has a round structure with soft tannins. It is elegant supple balanced and harmonious. Perfect with red meats and cheeses. (Elegant Red Fruit Cassis  Medium-bodied )
